zoo_sciName,mamPhy_tiplabel,synonym,synonymNotes,synonymLink,zoo_SourceCode,zoo_Source,zoo_Accession,zoo_IUCN,zoo_Common Name,zoo_Order,zoo_Family,zoo_subspecies
Galeopterus_variegatus,Galeopterus_variegatus_CYNOCEPHALIDAE_DERMOPTERA,0,NA,NA,1,1. Zoonomia,GCA_004027255.1,LC,Sunda flying lemur,DERMOPTERA,Cynocephalidae,NA
Giraffa_tippelskirchi,Giraffa_camelopardalis_GIRAFFIDAE_CETARTIODACTYLA,1,split from G. camelopardalis,https://www.mammaldiversity.org/explore.html#genus=Giraffa&species=tippelskirchi&id=1006342,2,2. Existing assembly,GCA_001651235.1,VU,Giraffe,CETARTIODACTYLA,Giraffidae,NA
Glis_glis,Glis_glis_GLIRIDAE_RODENTIA,0,NA,NA,1,1. Zoonomia,GCA_004027185.1,LC,Edible dormouse,RODENTIA,Gliridae,NA
Gorilla_gorilla,Gorilla_gorilla_HOMINIDAE_PRIMATES,0,NA,NA,2,2. Existing assembly,GCA_900006655.3,CR,Western lowland gorilla,PRIMATES,Hominidae,NA
Graphiurus_murinus,Graphiurus_murinus_GLIRIDAE_RODENTIA,0,NA,NA,1,1. Zoonomia,GCA_004027655.1,LC,Woodland doormouse,RODENTIA,Gliridae,NA
Helogale_parvula,Helogale_parvula_HERPESTIDAE_CARNIVORA,0,NA,NA,1,1. Zoonomia,GCA_004023845.1,LC,Dwarf mongoose,CARNIVORA,Herpestidae,NA
Hemitragus_hylocrius,Nilgiritragus_hylocrius_BOVIDAE_CETARTIODACTYLA,1,moved from Hemitragus to Nilgiritragus,https://www.mammaldiversity.org/explore.html#genus=Nilgiritragus&species=hylocrius&id=1006200,1,1. Zoonomia,GCA_004026825.1,EN,Nilgiri tahr,CETARTIODACTYLA,Bovidae,NA
Heterocephalus_glaber,Heterocephalus_glaber_HETEROCEPHALIDAE_RODENTIA,0,NA,NA,2,2. Existing assembly,GCF_000247695.1,LC,Naked mole-rat,RODENTIA,Bathyergidae,NA
Heterohyrax_brucei,Heterohyrax_brucei_PROCAVIIDAE_HYRACOIDEA,0,NA,NA,1,1. Zoonomia,GCA_004026845.1,LC,African yellow-spotted rock hyrax,HYRACOIDEA,Procaviidae,NA
Hippopotamus_amphibius,Hippopotamus_amphibius_HIPPOPOTAMIDAE_CETARTIODACTYLA,0,NA,NA,1,1. Zoonomia,GCA_004027065.1,VU,Hippopotamus,CETARTIODACTYLA,Hippopotamidae,NA
Hipposideros_armiger,Hipposideros_armiger_HIPPOSIDERIDAE_CHIROPTERA,0,NA,NA,2,2. Existing assembly,GCA_001890085.1,LC,Great roundleaf bat,CHIROPTERA,Hipposideridae,NA
Hipposideros_galeritus,Hipposideros_galeritus_HIPPOSIDERIDAE_CHIROPTERA,0,NA,NA,1,1. Zoonomia,GCA_004027415.1,LC,Cantor's leaf-nosed bat,CHIROPTERA,Hipposideridae,NA
Homo_sapiens,Homo_sapiens_HOMINIDAE_PRIMATES,0,NA,NA,2,2. Existing assembly,GCA_000001405.27,LC,Human,PRIMATES,Hominidae,NA
Hyaena_hyaena,Hyaena_hyaena_HYAENIDAE_CARNIVORA,0,NA,NA,1,1. Zoonomia,GCA_004023945.1,NT,Striped hyena,CARNIVORA,Hyaenidae,NA
Hydrochoerus_hydrochaeris,Hydrochoerus_hydrochaeris_CAVIIDAE_RODENTIA,0,NA,NA,1,1. Zoonomia,GCA_004027455.1,LC,Capybara,RODENTIA,Caviidae,NA
Hystrix_cristata,Hystrix_cristata_HYSTRICIDAE_RODENTIA,0,NA,NA,1,1. Zoonomia,GCA_004026905.1,LC,Northern crested porcupine,RODENTIA,Hystricidae,NA
Ictidomys_tridecemlineatus,Ictidomys_tridecemlineatus_SCIURIDAE_RODENTIA,0,NA,NA,2,2. Existing assembly,GCF_000236235.1,LC,Thirteen-lined ground squirrel,RODENTIA,Sciuridae,NA
Indri_indri,Indri_indri_INDRIIDAE_PRIMATES,0,NA,NA,1,1. Zoonomia,GCA_004363605.1,CR,Indri,PRIMATES,Indridae,NA
Inia_geoffrensis,Inia_geoffrensis_INIIDAE_CETARTIODACTYLA,0,NA,NA,1,1. Zoonomia,GCA_004363515.1,DD,Amazon river dolphin,CETARTIODACTYLA,Iniidae,NA
Jaculus_jaculus,Jaculus_jaculus_DIPODIDAE_RODENTIA,0,NA,NA,2,2. Existing assembly,GCF_000280705.1,LC,Lesser egyptian jerboa,RODENTIA,Dipodidae,NA
Kogia_breviceps,Kogia_breviceps_PHYSETERIDAE_CETARTIODACTYLA,0,NA,NA,1,1. Zoonomia,GCA_004363705.1,DD,Pygmy sperm whale,CETARTIODACTYLA,Physeteridae,NA
Lasiurus_borealis,Lasiurus_borealis_VESPERTILIONIDAE_CHIROPTERA,0,NA,NA,1,1. Zoonomia,GCA_004026805.1,LC,Eastern red bat,CHIROPTERA,Vespertilionidae,NA
Lemur_catta,Lemur_catta_LEMURIDAE_PRIMATES,0,NA,NA,1,1. Zoonomia,GCA_004024665.1,EN,Ring tailed lemur,PRIMATES,Lemuridae,NA
Leptonychotes_weddellii,Leptonychotes_weddellii_PHOCIDAE_CARNIVORA,0,NA,NA,2,2. Existing assembly,GCF_000349705.1,LC,Weddell seal,CARNIVORA,Phocidae,NA
Lepus_americanus,Lepus_americanus_LEPORIDAE_LAGOMORPHA,0,NA,NA,1,1. Zoonomia,GCA_004026855.1,LC,Snowshoe hare,LAGOMORPHA,Leporidae,NA
Lipotes_vexillifer,Lipotes_vexillifer_INIIDAE_CETARTIODACTYLA,0,NA,NA,2,2. Existing assembly,GCF_000442215.1,CR,Yangtze river dolphin,CETARTIODACTYLA,Iniidae,NA
Loxodonta_Africana,Loxodonta_africana_ELEPHANTIDAE_PROBOSCIDEA,1,lower case 'africana',https://www.mammaldiversity.org/explore.html#genus=Loxodonta&species=africana&id=1000522,2,2. Existing assembly,GCF_000001905.1,VU,African savanna elephant,PROBOSCIDEA,Elephantidae,NA
Lycaon_pictus,Lycaon_pictus_CANIDAE_CARNIVORA,0,NA,NA,2,2. Existing assembly,GCA_001887905.1,EN,African hunting dog,CARNIVORA,Canidae,NA
Macaca_fascicularis,Macaca_fascicularis_CERCOPITHECIDAE_PRIMATES,0,NA,NA,2,2. Existing assembly,GCF_000364345.1,DD,Crab-eating macaque,PRIMATES,Cercopithecidae,NA
Macaca_mulatta,Macaca_mulatta_CERCOPITHECIDAE_PRIMATES,0,NA,NA,2,2. Existing assembly,GCF_000772875.2,LC,Rhesus monkey,PRIMATES,Cercopithecidae,NA
Macaca_nemestrina,Macaca_nemestrina_CERCOPITHECIDAE_PRIMATES,0,NA,NA,2,2. Existing assembly,GCF_000956065.1,VU,Pig-tailed macaque,PRIMATES,Cercopithecidae,NA
Macroglossus_sobrinus,Macroglossus_sobrinus_PTEROPODIDAE_CHIROPTERA,0,NA,NA,1,1. Zoonomia,GCA_004027375.1,LC,Long-tongued fruit bat,CHIROPTERA,Pteropodidae,NA
Macrotus_californicus,Macrotus_californicus_PHYLLOSTOMIDAE_CHIROPTERA,0,NA,NA,3,3. Zoonomia (not in alignment),GCA_007922815.1,LC,California leaf-nosed bat,CHIROPTERA,Phyllostomidae,NA
